zona,quartos,area,preco
norte,5,248,7.900
norte,2,70,850
norte,1,160,700
norte,1,70,600
norte,1,40,720
norte,5,150,2.000
norte,1,50,820
norte,2,58,1.500
norte,1,90,1.000
norte,1,30,690
norte,2,55,1.400
norte,,318,8.000
norte,1,40,780
norte,2,42,950
norte,,30,750
norte,2,50,1.700
norte,1,30,550
norte,2,45,950
norte,3,225,3.000
norte,2,200,2.800
norte,,40,990
norte,1,30,900
norte,1,42,1.000
norte,3,100,1.800
norte,2,40,1.000
norte,1,30,1.300
norte,3,240,3.500
norte,3,264,4.100
norte,1,35,950
norte,3,449,4.850
norte,2,65,1.900
norte,1,600,3.600
norte,4,350,4.500
norte,4,470,4.800
norte,2,60,2.000
norte,2,390,5.500
norte,2,480,4.800
norte,1,30,780
norte,1,40,1.100
norte,2,50,1.200
norte,1,40,1.100
norte,2,60,1.150
norte,3,95,1.750
norte,3,210,3.500
norte,3,160,2.500
norte,2,120,1.100
norte,4,250,3.700
norte,2,100,2.000
norte,2,120,1.600
norte,3,222,3.600
norte,2,180,2.000
norte,2,80,1.300
norte,2,80,1.400
norte,3,160,1.900
norte,1,50,800
norte,2,268,2.600
norte,3,160,2.550
norte,1,30,650
norte,2,120,1.050
norte,2,50,1.200
norte,3,200,2.000
norte,1,35,750
norte,2,70,1.900
norte,2,105,3.500
norte,2,50,1.200
norte,1,35,850
norte,3,70,1.800
norte,3,90,1.530
norte,3,230,2.700
norte,3,227,2.300
norte,3,240,4.500
norte,3,225,3.000
norte,2,60,1.500
norte,2,135,3.000
norte,,370,5.000
norte,,120,3.000
norte,3,350,3.800
norte,4,280,5.900
norte,4,350,3.700
norte,4,680,5.100
norte,3,180,2.500
norte,3,250,3.000
norte,7,750,10.000
norte,4,250,3.500
norte,,250,5.000
norte,3,150,3.000
norte,4,280,6.000
norte,,200,3.500
norte,3,360,6.500
norte,3,110,2.500
norte,2,80,1.700
norte,2,70,2.200
norte,3,70,2.700
norte,3,180,2.300
norte,2,40,1.200
norte,2,40,1.100
norte,2,135,3.000
norte,3,168,4.800
norte,,350,8.000
norte,,178,6.500
norte,2,140,2.200
norte,,350,5.500
norte,4,650,5.100
norte,,250,4.000
norte,3,150,3.200
norte,1,40,1.100
norte,3,50,1.500
norte,3,90,1.500
norte,2,259,2.500
norte,3,98,2.500
norte,,216,2.950
norte,,113,3.400
norte,2,,1.700
norte,2,60,2.000
norte,1,85,1.350
norte,2,100,2.500
norte,3,240,4.000
norte,4,127,5.000
norte,,900,6.000
norte,2,180,1.700
norte,4,330,5.500
norte,2,,990
norte,1,40,800
norte,3,75,2.100
norte,3,180,2.700
norte,,75,2.100
norte,2,90,1.600
norte,,170,3.000
norte,2,97,2.500
norte,2,100,1.300
norte,1,,950
norte,3,120,2.500
norte,2,200,1.700
norte,2,90,1.900
norte,2,100,1.800
norte,3,200,3.000
norte,3,130,1.900
norte,2,70,1.620
norte,2,80,1.500
norte,1,55,1.100
norte,,460,8.000
norte,2,120,1.600
norte,3,180,2.900
norte,2,120,2.000
norte,2,80,1.390
norte,2,90,2.300
norte,1,60,750
norte,3,330,4.000
norte,2,150,2.500
norte,1,38,1.200
norte,3,180,2.800
norte,2,100,1.200
norte,1,1,1.250
norte,,400,8.500
norte,1,30,550
norte,1,35,450
norte,1,30,850
norte,2,98,1.800
norte,3,260,3.200
norte,1,70,950
norte,3,362,5.000
norte,1,,830
norte,1,40,830
norte,3,50,1.500
norte,2,70,1.100
norte,,130,1.800
norte,3,177,2.200
norte,1,,870
norte,1,35,1.150
norte,2,67,1.600
norte,,260,6.000
norte,1,40,750
norte,1,40,850
norte,3,250,1.900
norte,2,70,4.000
norte,3,105,1.850
norte,2,55,1.300
norte,2,60,2.500
norte,1,40,870
norte,2,40,850
norte,2,100,2.300
norte,2,65,1.800
norte,3,82,2.000
norte,3,400,5.000
norte,2,75,2.000
norte,2,30,1.100
norte,1,30,850
norte,1,40,2.000
norte,2,,800
norte,2,120,1.580
norte,1,50,900
norte,2,105,3.500
norte,,550,7.000
norte,2,110,2.300
norte,1,20,420
norte,1,35,1.200
norte,1,40,850
norte,1,45,550
norte,1,32,950
norte,1,47,750
norte,1,45,750
norte,1,38,750
norte,1,32,950
norte,1,35,850
norte,3,,2.200
norte,2,85,1.350
norte,,240,9.800
norte,,120,2.500
norte,,45,2.500
norte,1,50,850
norte,,70,3.500
norte,4,245,4.000
norte,2,60,1.100
norte,,150,1.000
norte,1,,1.200
norte,,300,10.000
norte,,120,6.000
norte,1,,900
norte,2,250,2.400
norte,,350,8.000
norte,,636,12.000
norte,2,120,2.000
norte,1,,1.200
norte,,,3.500
norte,2,,2.000
norte,2,,1.600
norte,1,,800
norte,2,,1.800
norte,4,50,12.000
norte,2,60,700
norte,1,,550
norte,1,60,900
norte,2,,1.800
norte,3,260,5.000
norte,2,100,2.400
norte,,300,5.000
norte,3,200,3.200
norte,2,65,1.150
norte,2,120,5.000
norte,3,180,2.500
norte,2,150,2.000
norte,3,120,1.800
norte,3,250,3.500
norte,4,345,5.000
norte,,50,5.000
norte,2,134,2.700
norte,3,50,2.800
norte,4,50,3.250
norte,2,45,1.100
norte,1,40,500
norte,2,60,1.300
norte,1,40,700
norte,2,55,1.000
norte,1,50,750
norte,1,50,550
norte,1,40,650
norte,1,25,450
norte,1,400,450
norte,1,35,700
norte,3,60,900
norte,3,70,1.000
norte,1,40,550
norte,2,90,700
norte,1,70,600
norte,2,60,1.000
norte,1,40,800
norte,2,90,1.000
norte,1,60,650
norte,2,70,1.200
norte,2,70,950
norte,3,90,1.100
norte,1,50,950
norte,2,90,1.300
norte,1,50,650
norte,2,70,1.800
norte,2,80,1.100
norte,1,35,700
norte,3,90,1.400
norte,1,50,550
norte,2,70,800
norte,1,50,650
norte,1,90,700
norte,5,80,2.000
norte,2,48,920
norte,1,50,900
norte,1,70,700
norte,3,110,1.800
norte,1,35,700
norte,1,45,700
norte,1,70,1.600
norte,1,40,750
norte,1,40,700
norte,2,90,1.050
norte,5,85,1.900
norte,3,70,930
norte,1,80,750
norte,3,60,1.800
norte,1,50,650
norte,2,50,1.400
norte,2,40,1.500
norte,1,70,850
norte,1,200,750
norte,2,48,1.200
norte,1,40,750
norte,1,30,550
norte,2,50,900
norte,2,90,900
norte,2,90,1.600
norte,2,360,950
norte,2,70,1.800
norte,2,70,1.300
norte,3,110,1.700
norte,3,80,1.100
norte,2,68,790
norte,2,70,1.400
norte,1,80,1.000
norte,1,50,900
norte,2,90,1.300
norte,1,60,950
norte,4,70,2.500
norte,1,40,1.200
norte,1,50,550
norte,1,50,1.000
norte,1,35,700
norte,1,40,750
norte,1,45,650
norte,3,120,1.600
norte,2,74,2.000
norte,3,150,2.600
norte,2,90,1.600
norte,1,40,900
norte,2,55,900
norte,3,55,1.600
norte,2,70,1.500
norte,2,80,1.299
norte,2,90,1.800
sul,3,120,1.300
sul,3,120,2.500
sul,,380,8.000
sul,,320,8.000
sul,2,60,1.300
sul,2,70,1.800
sul,2,60,1.800
sul,1,60,1.200
sul,1,45,950
sul,,386,20.000
sul,3,250,1.600.000
sul,4,170,3.200
sul,3,500,6.000
sul,3,200,5.000
sul,1,30,600
sul,1,40,1.000
sul,2,80,1.900
sul,3,120,1.700
sul,3,350,8.000
sul,3,400,8.000
sul,,107,8.000
sul,2,120,2.500
sul,4,170,8.000
sul,1,25,600
sul,1,30,650
sul,1,25,600
sul,1,20,500
sul,2,90,900
sul,3,420,3.300
sul,2,106,4.500
sul,,220,22.000
sul,1,75,950
sul,2,120,1.700
sul,,167,5.270
sul,2,100,4.500
sul,,400,19.000
sul,,350,10.000
sul,3,90,2.400
sul,1,40,800
sul,2,70,1.400
sul,6,750,30.000
sul,3,400,10.000
sul,3,200,2.400
sul,,95,3.500
sul,4,200,3.000
sul,2,90,2.000
sul,3,200,3.100
sul,,183,10.000
sul,2,77,2.000
sul,2,107,2.700
sul,,320,6.500
sul,4,500,20.000
sul,2,70,2.000
sul,3,120,3.000
sul,4,375,22.000
sul,4,400,10.000
sul,2,165,3.000
sul,4,350,18.000
sul,,750,28.000
sul,2,121,1.400
sul,4,500,25.000
sul,2,75,1.400
sul,3,116,1.700
sul,,250,5.500
sul,1,21,1.090
sul,4,550,9.500
sul,4,309,20.000
sul,,617,45.000
sul,2,70,1.250
sul,,110,3.000
sul,2,130,2.099
sul,3,300,3.900
sul,4,280,12.000
sul,4,140,13.000
sul,4,295,12.000
sul,2,70,2.500
sul,2,50,1.200
sul,3,167,4.200
sul,4,625,20.000
sul,3,190,2.500
sul,2,115,1.700
sul,4,208,5.000
sul,3,140,7.000
sul,1,65,1.300
sul,2,220,2.000
sul,,250,16.000
sul,9,250,4.000
sul,3,170,3.450
sul,3,70,2.500
sul,3,136,2.800
sul,,75,2.500
sul,1,48,600
sul,3,150,3.000
sul,3,160,2.500
sul,4,568,25.000
sul,3,172,4.600
sul,2,115,5.800
sul,3,390,40.000
sul,2,92,1.400
sul,1,45,1.300
sul,3,110,3.500
sul,4,350,7.000
sul,3,6,7.000
sul,3,110,4.000
sul,1,30,850
sul,,300,18.000
sul,1,150,8.500
sul,,400,5.500
sul,2,120,4.500
sul,3,160,8.530
sul,3,212,5.200
sul,2,60,2.400
sul,2,100,5.820
sul,,523,28.000
sul,3,170,4.800
sul,4,208,5.000
sul,2,125,2.500
sul,4,512,18.000
sul,3,250,8.000
sul,3,100,2.200
sul,1,38,600
sul,1,45,1.300
sul,3,200,2.200
sul,2,120,5.800
sul,2,100,2.000
sul,1,200,9.000
sul,1,35,650
sul,2,120,5.400
sul,1,50,1.000
sul,2,113,2.198
sul,3,125,3.000
sul,1,95,2.550
sul,2,180,2.500
sul,1,42,1.800
sul,2,60,1.100
sul,2,430,18.000
sul,4,180,3.500
sul,2,75,1.600
sul,2,180,2.500
sul,3,86,1.500
sul,2,70,1.300
sul,4,420,35.000
sul,2,120,1.900
sul,3,160,16.500
sul,3,160,16.500
sul,2,30,1.150
sul,2,120,1.950
sul,7,,4.500
sul,2,160,3.000
sul,2,130,2.300
sul,4,650,50.000
sul,4,280,9.500
sul,,50,1.700
sul,1,100,4.200
sul,3,200,3.500
sul,2,85,2.100
sul,1,96,1.900
sul,,220,13.000
sul,2,50,1.300
sul,1,35,700
sul,2,60,1.100
sul,4,413,35.000
sul,6,90,6.000
sul,2,268,8.000
sul,1,60,1.200
sul,3,217,7.000
sul,3,250,7.000
sul,3,300,7.000
sul,5,398,7.000
sul,,270,12.000
sul,,300,7.500
sul,4,299,7.500
sul,5,360,7.000
sul,4,370,8.000
sul,4,320,7.000
sul,3,160,3.500
sul,3,156,7.500
sul,3,445,7.000
sul,5,280,7.500
sul,2,180,7.300
sul,2,185,4.500
sul,3,270,7.000
sul,4,330,8.000
sul,,200,7.000
sul,,230,7.000
sul,5,350,7.000
sul,4,380,7.000
sul,,185,7.000
sul,,300,7.400
sul,4,250,3.200
sul,4,309,20.000
sul,3,150,4.000
sul,4,150,4.500
sul,3,350,4.500
sul,5,200,5.500
sul,2,80,2.200
sul,,80,7.000
sul,1,60,2.500
sul,,200,7.000
sul,3,466,30.000
sul,2,140,2.500
sul,1,40,1.100
sul,,255,10.000
sul,1,141,7.000
sul,4,350,4.500
sul,5,200,7.000
sul,3,180,4.500
sul,4,250,4.500
sul,2,107,2.700
sul,,360,7.500
sul,3,230,3.300
sul,,350,13.000
sul,3,120,7.800
sul,,120,7.800
sul,2,112,3.400
sul,2,150,3.000
sul,2,240,7.500
sul,3,300,7.500
sul,3,250,4.000
sul,3,240,7.000
sul,3,342,4.500
sul,1,27,500
sul,2,48,1.550
sul,2,105,3.200
sul,2,85,1.250
sul,1,50,1.300
sul,5,120,7.500
sul,2,245,7.200
sul,3,230,9.500
sul,4,250,2.800
sul,5,480,7.500
sul,2,60,1.100
sul,1,35,800
sul,3,120,5.000
sul,3,206,6.000
sul,4,400,7.500
sul,3,90,2.500
sul,,350,35.000
sul,5,310,7.800
sul,,350,35.000
sul,2,80,2.100
sul,1,30,1.139
sul,,600,150.000
sul,4,240,7.350
sul,,254,15.000
sul,3,160,5.000
sul,,401,10.000
sul,,205,9.000
sul,2,70,1.000
sul,1,50,1.000
sul,1,,900
sul,2,60,1.100
sul,2,60,1.100
sul,,200,7.500
sul,1,32,1.500
sul,3,,2.700
sul,1,300,4.000
sul,4,150,3.500
sul,2,120,7.000
sul,1,35,900
sul,2,60,950
sul,2,,2.000
sul,1,60,700
sul,2,120,5.800
sul,,120,5.000
sul,3,150,8.000
sul,4,300,7.000
sul,1,43,4.700
sul,2,,6.500
sul,1,100,450
sul,2,70,750
sul,1,60,500
sul,1,45,550
sul,1,50,850
sul,1,45,600
sul,2,100,1.100
sul,1,40,650
sul,1,50,530
sul,1,100,900
sul,1,21,1.200
sul,3,200,2.000
sul,1,85,900
sul,2,125,900
sul,2,80,1.000
sul,1,28,1.100
sul,1,60,550
sul,4,125,500
sul,1,40,600
sul,1,40,600
sul,1,40,850
sul,1,80,950
sul,3,80,1.500
sul,4,495,1.300.000
sul,1,40,800
sul,2,45,1.480
sul,1,50,650
sul,1,33,750
sul,1,30,550
sul,1,34,900
sul,2,75,1.200
sul,1,70,650
sul,1,65,770
sul,1,45,650
sul,1,21,1.000
sul,2,60,2.800
sul,3,85,2.000
sul,1,35,600
sul,1,125,700
sul,1,40,1.500
